start-date-time,end-date-time,geography,name,tags,link,miscellaneous
Thu: Apr 4(8pm-12am),Thu: Apr 4(8pm-12am),"Deep Sea: DJ Staley, OmNa, Christina T, 888 @ Asiento (San Francisco)","Deep Sea: DJ Staley, OmNa, Christina T, 888 @ Asiento (San Francisco)","deep house, techno",,Free | 21+Deep Sea
Thu: Apr 4(8:30pm-2am),Thu: Apr 4(8:30pm-2am),"Decap, Thrpy, Joe Mousepad / BDHBT, Brittany from Earlier @ F8 1192 Folsom (San Francisco)","Decap, Thrpy, Joe Mousepad / BDHBT, Brittany from Earlier @ F8 1192 Folsom (San Francisco)","hip-hop, bass music, club music",https://www.facebook.com/events/411364812946764/,$10 | 21+The Program & Bass Gamut
Thu: Apr 4(9pm-1:30am),Thu: Apr 4(9pm-1:30am),Onra (Paris) @ The Continental Bar Lounge & Patio (San Jose),Onra (Paris) @ The Continental Bar Lounge & Patio (San Jose),"hip-hop, r&b, soul",,21+Universal Grammar
Thu: Apr 4(9:30pm-2am),Thu: Apr 4(9:30pm-2am),"ICD - Dance Party w/Anderson Chase, Arnie White, Matt Perkins, Skyler Redondo  @ The Great Northern (San Francisco)","ICD - Dance Party w/Anderson Chase, Arnie White, Matt Perkins, Skyler Redondo  @ The Great Northern (San Francisco)","deep house, tech house",,21+I Can't Dance
Thu: Apr 4(10pm-2am),Thu: Apr 4(10pm-2am),Golden Features @ Audio (San Francisco),Golden Features @ Audio (San Francisco),"tech house, deep house",,$10 | 21+Audio San Francisco
Thu: Apr 4(10pm-2am),Thu: Apr 4(10pm-2am),"Shelter Dnb - Handsome Dodger, Shadow Spirit, Kinetik @ Underground (San Francisco)","Shelter Dnb - Handsome Dodger, Shadow Spirit, Kinetik @ Underground (San Francisco)","drum and bass, jungle",,Free | 21+Shelter SF
Thu: Apr 4(10pm-4am),Thu: Apr 4(10pm-4am),Substance w/ Jason Hodges @ The Endup (San Francisco),Substance w/ Jason Hodges @ The Endup (San Francisco),"tech house, deep house",https://www.facebook.com/events/2122425591183364/,Free w/RSVP b4 11pm/$5-10 pre/$15 | 21+Substance Thursdays
Fri: Apr 5(5pm-9pm),Fri: Apr 5(5pm-9pm),"Bring Down The Walls w/Mr. V, Rated R @ The Continental Bar Lounge & Patio (San Jose)","Bring Down The Walls w/Mr. V, Rated R @ The Continental Bar Lounge & Patio (San Jose)","funky house, deep house",,Free | 21+
Fri: Apr 5(5pm-9pm),Fri: Apr 5(5pm-9pm),"Skin: DJ Cecil, Emancipacion, Daktari Dance Medicine @ Oakland Museum Of California (Oakland)","Skin: DJ Cecil, Emancipacion, Daktari Dance Medicine @ Oakland Museum Of California (Oakland)","house, world music",,Free | All ages
Fri: Apr 5(7pm-11:30pm),Fri: Apr 5(7pm-11:30pm),Mark Sheppard / Memory Theater / Tyler Holmes / LA Frida @ Oakland.Secret (Oakland),Mark Sheppard / Memory Theater / Tyler Holmes / LA Frida @ Oakland.Secret (Oakland),"live electronic, ambient, synthpop",,$5-10Memory Theater
Fri: Apr 5(8pm),Fri: Apr 5(8pm),Krs-One @ Slim's (San Francisco),Krs-One @ Slim's (San Francisco),hip-hop,https://www.facebook.com/events/781958125519785/,$25Slim's
Fri: Apr 5(8pm),Fri: Apr 5(8pm),"Space Jesus, Buku, Huxley Anne, Eazybaked @ The Uc Theatre Taube Family Music Hall (Berkeley)","Space Jesus, Buku, Huxley Anne, Eazybaked @ The Uc Theatre Taube Family Music Hall (Berkeley)","dubstep, glitch-hop, bass music",https://www.facebook.com/events/541984829559322/,$28.25 | All ages
Fri: Apr 5(8pm-11pm),Fri: Apr 5(8pm-11pm),"Downtown Techno w/Toroidal Vortices, LUVR Boy B2B TheBelfryLuna @ 648 W. 5th Street (Chico)","Downtown Techno w/Toroidal Vortices, LUVR Boy B2B TheBelfryLuna @ 648 W. 5th Street (Chico)",techno,https://www.facebook.com/events/367822017280533/,$7 | All agesValum Productions
Fri: Apr 5(8pm-2am),Fri: Apr 5(8pm-2am),Fumiya Tanaka w/ Petko Nikolov @ Phonobar (San Francisco),Fumiya Tanaka w/ Petko Nikolov @ Phonobar (San Francisco),"tech house, minimal, techno",https://www.facebook.com/events/311798759685635/,$15 | 21+Phonobar
Fri: Apr 5(9pm),Fri: Apr 5(9pm),Amok- Will Clarke and Sian @ Halcyon (San Francisco),Amok- Will Clarke and Sian @ Halcyon (San Francisco),"tech house, deep house",,$15-35 | 21+Octopus Recordings Warehouse Series
Fri: Apr 5(9pm-11:59pm),Fri: Apr 5(9pm-11:59pm),"Cube (Album Release), Modern Dance, Zachary James Watkins @ The Knockout (San Francisco)","Cube (Album Release), Modern Dance, Zachary James Watkins @ The Knockout (San Francisco)","experimental, noise",https://www.facebook.com/events/2272135439510340/,$10 | 21+Talent Moat
Fri: Apr 5(9pm-1am),Fri: Apr 5(9pm-1am),Tennyson (Live) @ Rickshaw Stop (San Francisco),Tennyson (Live) @ Rickshaw Stop (San Francisco),"synthpop, future beats, trip-hop, experimental",,$17 | 18+Popscene
Fri: Apr 5(9pm-2:30am),Fri: Apr 5(9pm-2:30am),Fyre'd: A Fyre Festival Mock Event @ TBA (San Francisco),Fyre'd: A Fyre Festival Mock Event @ TBA (San Francisco),"hip-hop, rock, house, EDM",https://www.facebook.com/events/1945246955572495/,$15-25
Fri: Apr 5(9pm-2am),Fri: Apr 5(9pm-2am),"Vague Terrain w/ M.E.S.H., Austin Cesear @ Underground (San Francisco)","Vague Terrain w/ M.E.S.H., Austin Cesear @ Underground (San Francisco)","live electronic, experimental, ambient",,$10 pre/$15 | 21+Vague Terrain
Fri: Apr 5(9:30pm-2am),Fri: Apr 5(9:30pm-2am),Cash Cash @ The Park Ultra Lounge (Sacramento),Cash Cash @ The Park Ultra Lounge (Sacramento),"big room house, electro house, trap",https://www.facebook.com/events/814848698852094/,$12.50-15 | 21+Midnite Events
Fri: Apr 5(9:30pm-2am),Fri: Apr 5(9:30pm-2am),Paul Oakenfold @ Audio (San Francisco),Paul Oakenfold @ Audio (San Francisco),"progressive house, trance",,$15-35 | 21+Audio San Francisco
Fri: Apr 5(9:30pm-3:30am),Fri: Apr 5(9:30pm-3:30am),"Noctuary 12 w/ Anastasia Kristensen & Carlos Souffront, Kudeki @ Public Works Oddjob Loft (San Francisco)","Noctuary 12 w/ Anastasia Kristensen & Carlos Souffront, Kudeki @ Public Works Oddjob Loft (San Francisco)","acid house, tech house, techno",https://www.facebook.com/events/352899775303010/,$10 | 21+Noctuary SF
Fri: Apr 5(10pm),Fri: Apr 5(10pm),Ren The Vinyl Archaeologist @ The Layover (Oakland),Ren The Vinyl Archaeologist @ The Layover (Oakland),hip-hop,,Free b4 9pm/$5 | 21+True Skool
Fri: Apr 5(10pm),Fri: Apr 5(10pm),Tchami's Ghosts @ The Great Northern (San Francisco),Tchami's Ghosts @ The Great Northern (San Francisco),"bass house, future house, electro house",https://www.facebook.com/events/2185520205042167/,$40 | 21+
Fri: Apr 5(10pm-2am),Fri: Apr 5(10pm-2am),Bonnie X Clyde @ Temple Nightclub (San Francisco),Bonnie X Clyde @ Temple Nightclub (San Francisco),"pop EDM, big room, electro house",,Free w/RSVP b4 11pm / $20 | 21+Temple Nightclub
Fri: Apr 5(10pm-2am),Fri: Apr 5(10pm-2am),Bounce Exchange w/ Miles Medina @ Drexl Bar (San Francisco),Bounce Exchange w/ Miles Medina @ Drexl Bar (San Francisco),"trap, big room house",,Free | 21+Drexl Bar
Fri: Apr 5(10pm-2am),Fri: Apr 5(10pm-2am),Troosoul - 1 Year Anniversary w/ Brutha Basil + Patrick Wilson @ The Blue Chip Sports Lounge & Restaurant (San Jose),Troosoul - 1 Year Anniversary w/ Brutha Basil + Patrick Wilson @ The Blue Chip Sports Lounge & Restaurant (San Jose),"funky house, deep house",,Free | 21+Troosoul
Fri: Apr 5(10pm-3:30am),Fri: Apr 5(10pm-3:30am),Atish All Night @ The Public Works (San Francisco),Atish All Night @ The Public Works (San Francisco),"techno, progressive house, tech house",https://www.facebook.com/events/404268173729905/,$20 | 21+The Public Works SF
Fri: Apr 5(10pm-3am),Fri: Apr 5(10pm-3am),"John Acquaviva, Rooz All Night Long @ Monarch (San Francisco)","John Acquaviva, Rooz All Night Long @ Monarch (San Francisco)",tech house,https://www.facebook.com/events/2086760191420868/,$10-15 | 21+Deepblue
Fri: Apr 5(10pm-3am),Fri: Apr 5(10pm-3am),Roche Musique Label Night: Darius + Zimmer + Kartell @ 1015 Folsom (San Francisco),Roche Musique Label Night: Darius + Zimmer + Kartell @ 1015 Folsom (San Francisco),"house, funk, disco",,$15-20 | 21+1015 Folsom
Sat: Apr 6(2am-6am),Sat: Apr 6(2am-6am),Mason Maynard @ TBA (San Francisco),Mason Maynard @ TBA (San Francisco),tech house,,$10-20 | 21+SET
Sat: Apr 6(7:30pm),Sat: Apr 6(7:30pm),Robotaki @ Cornerstone (Berkeley),Robotaki @ Cornerstone (Berkeley),"synthpop, future bass",,$17 pre / $21 | All agesCornerstone & We Dream Worlds:
Sat: Apr 6(7:30pm-1am),Sat: Apr 6(7:30pm-1am),"Cali Fire Bass Relief: Sayer, Tripzy Leary, Jalaya, Star Monster, Dalfin @ The Catalyst Club (Santa Cruz)","Cali Fire Bass Relief: Sayer, Tripzy Leary, Jalaya, Star Monster, Dalfin @ The Catalyst Club (Santa Cruz)","bass music, dubstep, trap",https://www.facebook.com/events/2214618288754978/,$12 pre/$15 | 18+Jalaya
Sat: Apr 6(7:30pm-9pm),Sat: Apr 6(7:30pm-9pm),George Hurd @ 230 San Antonio Circle (Mountain View),George Hurd @ 230 San Antonio Circle (Mountain View),live electronic,http://www.residentadvisor.net/events/1238866,Free
Sat: Apr 6(8pm),Sat: Apr 6(8pm),Mortiis @ Oakland Metro (Oakland),Mortiis @ Oakland Metro (Oakland),"industrial rock, dark ambient",https://www.facebook.com/events/1956953711085425/,$15 | All agesNumbskullshows.Com
Sat: Apr 6(8pm-11:59pm),Sat: Apr 6(8pm-11:59pm),Dabin @ Slim's (San Francisco),Dabin @ Slim's (San Francisco),"future bass, pop EDM",,$15-20 | All agesSlim's
Sat: Apr 6(8pm-2am),Sat: Apr 6(8pm-2am),Ali Bar-Bar - 5 Years Celebration! @ The Hub (Redwood City),Ali Bar-Bar - 5 Years Celebration! @ The Hub (Redwood City),"progressive house, tech house, playa tech",https://www.facebook.com/events/2439132266209275/,$15-20 | 21+Ali Bar-Bar
Sat: Apr 6(8pm-2am),Sat: Apr 6(8pm-2am),"Byron The Aquarius, Christopher Orr and Zernell @ Phonobar (San Francisco)","Byron The Aquarius, Christopher Orr and Zernell @ Phonobar (San Francisco)","funk, experimental, hip-hop",,$5 pre | 21+Phonobar
Sat: Apr 6(9pm),Sat: Apr 6(9pm),"Rusha Live, BK, Corrine, Critical Technique, R3M @ Lounge 3411 (Oakland)","Rusha Live, BK, Corrine, Critical Technique, R3M @ Lounge 3411 (Oakland)","drum and bass, jungle",,$5 | 21+Rusha
Sat: Apr 6(9pm),Sat: Apr 6(9pm),Sian @ Fulton 55 (Fresno),Sian @ Fulton 55 (Fresno),"techno, tech house",https://www.facebook.com/events/2243505279221677/,$15-20 | 21+LMC
Sat: Apr 6(9pm-1:30am),Sat: Apr 6(9pm-1:30am),"Baystation w/ Starterkit, Neto, & Oakland Bounce, Rayreck, Jbuk, Grlgod @ 7th West (Oakland)","Baystation w/ Starterkit, Neto, & Oakland Bounce, Rayreck, Jbuk, Grlgod @ 7th West (Oakland)","global bass, jersey club, trap, house, reggaeton, juke, baile funk",https://www.facebook.com/events/1041024329354959/,Free w/RSVP b4 10pm/$10 donation | 21+Vivrant Thing
Sat: Apr 6(9pm-2am),Sat: Apr 6(9pm-2am),Dark Dirty Disco @ Driftwood (San Francisco),Dark Dirty Disco @ Driftwood (San Francisco),"disco, house",,21+Dark Dirty Disco
Sat: Apr 6(9pm-2am),Sat: Apr 6(9pm-2am),Hawthorn Saturdays: Extra Extra @ Hawthorn (San Francisco),Hawthorn Saturdays: Extra Extra @ Hawthorn (San Francisco),"tech house, hip-hop",https://www.facebook.com/events/1442954752514004/,Free w/RSVP b4 11pm | 21+Hawthorn
Sat: Apr 6(9pm-2am),Sat: Apr 6(9pm-2am),"Life Sounds Better: Soul Button (Steyoyoke), Hools @ 111 Minna Gallery (San Francisco)","Life Sounds Better: Soul Button (Steyoyoke), Hools @ 111 Minna Gallery (San Francisco)","techno, deep house",https://www.facebook.com/events/2266083793604499/,$17 | 21+Hools
Sat: Apr 6(9pm-2am),Sat: Apr 6(9pm-2am),"Modular Feat. Vaal, Pedro Arbulu, Atlas Kan @ Gray Area Art + Technology (San Francisco)","Modular Feat. Vaal, Pedro Arbulu, Atlas Kan @ Gray Area Art + Technology (San Francisco)","techno, progressive house, tech house",https://www.facebook.com/events/1029847873889909/,$15-25 | 21+Modular
Sat: Apr 6(9pm-2am),Sat: Apr 6(9pm-2am),Nicole Moudaber - Open To Close @ The Midway (San Francisco),Nicole Moudaber - Open To Close @ The Midway (San Francisco),"techno, tech house",https://www.facebook.com/events/614716865635786/,"$25-75 | 21+Goldenvoice-SF, SET"
Sat: Apr 6(9pm-3:30am),Sat: Apr 6(9pm-3:30am),Bootie SF: Ariana vs. Everyone @ DNA Lounge (San Francisco),Bootie SF: Ariana vs. Everyone @ DNA Lounge (San Francisco),mashups,https://www.facebook.com/events/2160544617372401/,$10 b4 10pm/$15 pre/$20 | 21+Bootie SF
Sat: Apr 6(9pm-3:30am),Sat: Apr 6(9pm-3:30am),Mystopia Presents: Dance Apocalyptic! w/The Carry Nation @ The Public Works (San Francisco),Mystopia Presents: Dance Apocalyptic! w/The Carry Nation @ The Public Works (San Francisco),house,,$12.50-25 | 21+Mystopia
Sat: Apr 6(9pm-3am),Sat: Apr 6(9pm-3am),Go Bang! w/ Lester Temple + Your Residents! Disco Action! @ The Stud (San Francisco),Go Bang! w/ Lester Temple + Your Residents! Disco Action! @ The Stud (San Francisco),"house, disco, funk",,$12 | 21+Go Bang!
Sat: Apr 6(9:30pm-1:30am),Sat: Apr 6(9:30pm-1:30am),"World Is Sound: Jef Stott, DLMJ @ Elbo Room Jack London (Oakland)","World Is Sound: Jef Stott, DLMJ @ Elbo Room Jack London (Oakland)","global bass, dub, tropical beats",,Free
Sat: Apr 6(9:30pm-2am),Sat: Apr 6(9:30pm-2am),Croatia Squad @ Audio (San Francisco),Croatia Squad @ Audio (San Francisco),"house, nu-disco",,$10 | 21+Audio San Francisco
Sat: Apr 6(9:30pm-3am),Sat: Apr 6(9:30pm-3am),Set w/Gardens Of God & Joseph Ashworth @ Monarch (San Francisco),Set w/Gardens Of God & Joseph Ashworth @ Monarch (San Francisco),"tech house, progressive house",,$10-20 | 21+
Sat: Apr 6(10pm-2am),Sat: Apr 6(10pm-2am),"Carnival Tech: Danny Fathom, Axel Holmes, FutureBeat vs Michel Moreira, SoSquall vs PhaseMode @ Calle-11SF (San Francisco)","Carnival Tech: Danny Fathom, Axel Holmes, FutureBeat vs Michel Moreira, SoSquall vs PhaseMode @ Calle-11SF (San Francisco)","tech house, techno",,"$10 | 21+Dalecali, PhaseMode"
Sat: Apr 6(10pm-2am),Sat: Apr 6(10pm-2am),Cedric Gervais @ Temple Nightclub (San Francisco),Cedric Gervais @ Temple Nightclub (San Francisco),big room house,,$20+ | 21+Temple Nightclub
Sat: Apr 6(10pm-2am),Sat: Apr 6(10pm-2am),"Lift: Mossmoss, Saire, Alex Windsor @ Underground (San Francisco)","Lift: Mossmoss, Saire, Alex Windsor @ Underground (San Francisco)",techno,,$5 | 21+
Sat: Apr 6(10pm-3am),Sat: Apr 6(10pm-3am),"Salted Ft. King Britt, Miguel Migs & Julius Papp @ The Midway (San Francisco)","Salted Ft. King Britt, Miguel Migs & Julius Papp @ The Midway (San Francisco)","deep house, funky house, jackin house",https://www.facebook.com/events/310010159660816/,$10-20 | 21+Salted
Sat: Apr 6(10pm-4am),Sat: Apr 6(10pm-4am),Chus and Ceballos X Dolby Atmos @ Halcyon (San Francisco),Chus and Ceballos X Dolby Atmos @ Halcyon (San Francisco),"techno, tech house, deep house",,$10-25 | 21+Halcyon SF
Sat: Apr 6(10pm-5am),Sat: Apr 6(10pm-5am),"Meltdown: 8AS3CK, 7OXDYE, 0B5TACK5, 7ONY M4NFRE, M27, DJ PL3453, T045T4 @ TBA (East Bay)","Meltdown: 8AS3CK, 7OXDYE, 0B5TACK5, 7ONY M4NFRE, M27, DJ PL3453, T045T4 @ TBA (East Bay)","breakbeat hardcore, drum and bass, jungle, breakcore, club music, experimental",,$10Nice Ones
Sun: Apr 7(2am-6am),Sun: Apr 7(2am-6am),Elements Of House Saturday Night Afterhours Feat. DJ Mes (Guesthouse Music) @ The Endup (San Francisco),Elements Of House Saturday Night Afterhours Feat. DJ Mes (Guesthouse Music) @ The Endup (San Francisco),deep house,https://www.facebook.com/events/370998230160156/,21+The Endup
Sun: Apr 7(1pm-7pm),Sun: Apr 7(1pm-7pm),Honey Dijon @ Audio (San Francisco),Honey Dijon @ Audio (San Francisco),"deep house, tech house",https://www.facebook.com/events/2001990346587808/,$10-25 | 21+Audio San Francisco
Sun: Apr 7(1pm-9pm),Sun: Apr 7(1pm-9pm),"Permission To Land Season Kick-Off w/ Sunset Sound System w/Maurice Fulton, Garth, Galen, Benjamin K. @ The Midway (San Francisco)","Permission To Land Season Kick-Off w/ Sunset Sound System w/Maurice Fulton, Garth, Galen, Benjamin K. @ The Midway (San Francisco)","house, disco, funky house, deep house",,21+Sunset Sound System
Sun: Apr 7(2pm-10pm),Sun: Apr 7(2pm-10pm),"Soul Deluxe 2019 w/DJ Theo & Sen-Sei Live! David Harness, Mario Dubbz @ 7th West (Oakland)","Soul Deluxe 2019 w/DJ Theo & Sen-Sei Live! David Harness, Mario Dubbz @ 7th West (Oakland)","deep house, soulful house, hip-hop, r&b",https://www.facebook.com/events/250856249139252/,Free w/RSVP / $15Theoretical Soul
Sun: Apr 7(3pm-8pm),Sun: Apr 7(3pm-8pm),Banana Sundaes Feat. Oona Dahl @ The Flamingo House Social Club (Sacramento),Banana Sundaes Feat. Oona Dahl @ The Flamingo House Social Club (Sacramento),"progressive house, tech house, deep house",https://www.facebook.com/events/2259033074365445/,$5-10 | 21+The Flamingo House Social Club
Sun: Apr 7(4pm-10pm),Sun: Apr 7(4pm-10pm),"Sol*Sundaze: Swing Kidd, 48'92, Diego Valle, Mr.Bremson, Todd Hurley @ Mango's (Sacramento)","Sol*Sundaze: Swing Kidd, 48'92, Diego Valle, Mr.Bremson, Todd Hurley @ Mango's (Sacramento)",house,https://www.facebook.com/events/397650187712774/,Free | 21+Sol Sundaze
Sun: Apr 7(8pm-10pm),Sun: Apr 7(8pm-10pm),Eduardo Castillo - Envelop Showcase @ Envelop At The Midway (San Francisco),Eduardo Castillo - Envelop Showcase @ Envelop At The Midway (San Francisco),"tech house, progressive house, deep house",,$50Envelop
Tue: Apr 9(7pm),Tue: Apr 9(7pm),Flosstradamus @ Ace Of Spades (Sacramento),Flosstradamus @ Ace Of Spades (Sacramento),"trap, hip-hop",,$27.5 | All agesAce Of Spades
Tue: Apr 9(8pm-10pm),Tue: Apr 9(8pm-10pm),Philip Glass - Koyaanisqatsi @ Envelop At The Midway (San Francisco),Philip Glass - Koyaanisqatsi @ Envelop At The Midway (San Francisco),"ambient, classical minimalism",https://www.facebook.com/events/2216020865312963/,$25Envelop
Tue: Apr 9(9pm-12am),Tue: Apr 9(9pm-12am),Rhythm Ritual w/ Jason Hodges + L!To @ The Continental Bar Lounge & Patio (San Jose),Rhythm Ritual w/ Jason Hodges + L!To @ The Continental Bar Lounge & Patio (San Jose),house,,Free | 21+Rhythm Ritual
Tue: Apr 9(10pm-2am),Tue: Apr 9(10pm-2am),"Partywave, Pushloop, Litlbird, Cannaba55 @ Monarch (San Francisco)","Partywave, Pushloop, Litlbird, Cannaba55 @ Monarch (San Francisco)","dubstep, trap, grime, hip-hop, footwork, juke, halftime drum and bass, house",,21+Soundpieces
Wed: Apr 10(8pm),Wed: Apr 10(8pm),FKJ @ The Warfield (San Francisco),FKJ @ The Warfield (San Francisco),"future beats, hip-hop, r&b",,$30-50 | All ages
Wed: Apr 10(8:30pm-1am),Wed: Apr 10(8:30pm-1am),"Emissions 2019 Pre-Party: Mihkal, J.Loki, Ryury & Sherlock Ohms @ MOTIV (Santa Cruz)","Emissions 2019 Pre-Party: Mihkal, J.Loki, Ryury & Sherlock Ohms @ MOTIV (Santa Cruz)","bass music, dubstep, trap",https://www.facebook.com/events/385208455610237/,$5 pre/$10 | 21+Mihkal
Wed: Apr 10(9pm-1:30am),Wed: Apr 10(9pm-1:30am),"Get w/ It Wednesdays: Aeon, Elevated Mind, Be1ng, Krakinov @ BRIX 581 (Oakland)","Get w/ It Wednesdays: Aeon, Elevated Mind, Be1ng, Krakinov @ BRIX 581 (Oakland)","hip-hop, trap, dancehall, club music",,21+Get With The Program
Wed: Apr 10(9pm-11:30pm),Wed: Apr 10(9pm-11:30pm),Little People @ The New Parish (Oakland),Little People @ The New Parish (Oakland),"downtempo, hip-hop",https://www.facebook.com/events/2317557848465813/,$10-15 | 21+The New Parish
Wed: Apr 10(9pm-2am),Wed: Apr 10(9pm-2am),"Housepitality: Bmg, They're Here , Scott Moore @ F8 1192 Folsom (San Francisco)","Housepitality: Bmg, They're Here , Scott Moore @ F8 1192 Folsom (San Francisco)","deep house, tech house, funky house",https://www.facebook.com/events/1188593487980679/,Free w/RSVP b4 10pm / $5 pre / $10 | 21+Housepitality
Wed: Apr 10(10pm-2am),Wed: Apr 10(10pm-2am),Pete Bones @ Phonobar (San Francisco),Pete Bones @ Phonobar (San Francisco),"tech house, progressive house",,21+Pete Bones
Thu: Apr 11(8pm),Thu: Apr 11(8pm),FKJ @ The Warfield (San Francisco),FKJ @ The Warfield (San Francisco),"future beats, hip-hop, r&b",https://www.facebook.com/events/694455500925140/,$30 | All ages
Thu: Apr 11(9pm-1:30am),Thu: Apr 11(9pm-1:30am),Deepinthehatch (Matt N Jakes Bday Party) @ The Hatch (Oakland),Deepinthehatch (Matt N Jakes Bday Party) @ The Hatch (Oakland),"deep house, tech house",,Free | 21+Deep In The Hatch
Thu: Apr 11(9pm-1:30pm),Thu: Apr 11(9pm-1:30pm),"The Move: A.ki.ra, Anthony Zmoda, Bates, Michio, Wez @ Enso Bar & Nightclub (San Jose)","The Move: A.ki.ra, Anthony Zmoda, Bates, Michio, Wez @ Enso Bar & Nightclub (San Jose)","house, techno",https://www.facebook.com/events/1185997014888980/,Free w/RSVP b4 11pm/$5 | 21+2Hard
Thu: Apr 11(10pm-2am),Thu: Apr 11(10pm-2am),Ashley Wallbridge @ Audio (San Francisco),Ashley Wallbridge @ Audio (San Francisco),"trance, house",,21+Trancefamily SF
Thu: Apr 11(10pm-4am),Thu: Apr 11(10pm-4am),Substance w/ Tony Hewitt @ The Endup (San Francisco),Substance w/ Tony Hewitt @ The Endup (San Francisco),deep house,https://www.facebook.com/events/422408058509038/,Free w/RSVP / $10 | 21+Substance Thursdays
Fri: Apr 12-Sun: Apr 14(Fri: 1pm-Sun: 12pm),Fri: Apr 12-Sun: Apr 14(Fri: 1pm-Sun: 12pm),End Means Beginning @ TBA (Northern California),End Means Beginning @ TBA (Northern California),"jungle, techno, dubstep, garage, bass music, house, breakcore, experimental",,FreeThought Society + DEFSF
Fri: Apr 12(7pm),Fri: Apr 12(7pm),"Excision, Black Tiger Sex Machine, Subtronics, Downlink, Sullivan King, Wooli, Subdocta @ Bill Graham Civic Auditorium (San Francisco)","Excision, Black Tiger Sex Machine, Subtronics, Downlink, Sullivan King, Wooli, Subdocta @ Bill Graham Civic Auditorium (San Francisco)","dubstep, brostep",https://www.facebook.com/events/350615075495794/,$49.5 | 18+
Fri: Apr 12(7pm-2am),Fri: Apr 12(7pm-2am),"COMPUTER DATA, Secret Friend Guest, Illusive, Hugsy, Feele @ TBA (San Francisco)","COMPUTER DATA, Secret Friend Guest, Illusive, Hugsy, Feele @ TBA (San Francisco)","deep house, lofi",https://www.facebook.com/events/408333973278885/,$15-25 | 21+Secret Friends Party
Fri: Apr 12(8pm),Fri: Apr 12(8pm),Beats Antique @ Fox Theater (Oakland),Beats Antique @ Fox Theater (Oakland),"glitch-hop, hip-hop, downtempo, tribal, dubstep",https://www.facebook.com/events/299735837560980/,$35
Fri: Apr 12(8pm),Fri: Apr 12(8pm),Jon Hopkins @ The Warfield (San Francisco),Jon Hopkins @ The Warfield (San Francisco),"progressive house, tech house, techno",,$21.50-40 | All agesGoldenvoice
