start-date-time,source,end-date-time,geography,name,tags,miscellaneous
Thu: Feb 28(10pm-2am),19hz,Thu: Feb 28(10pm-2am),DJ Boring + Jacques Greene at 1015 Folsom @ 1015 Folsom (San Francisco),DJ Boring + Jacques Greene at 1015 Folsom @ 1015 Folsom (San Francisco),"house, techno",$15 pre | 21+|As You Like It|Facebook Page
Thu: Feb 28(10pm-2am),19hz,Thu: Feb 28(10pm-2am),Hard Maybe 04: Sappho + Wywood @ Bar Fluxus (San Francisco),Hard Maybe 04: Sappho + Wywood @ Bar Fluxus (San Francisco),"tech house, deep house",$5 | 21+||Event Link
Thu: Feb 28(10pm-2am),19hz,Thu: Feb 28(10pm-2am),Konstruct 1-Year Anniversary: Drumcell @ Underground (San Francisco),Konstruct 1-Year Anniversary: Drumcell @ Underground (San Francisco),techno,$10 pre/$15 | 21+|Konstruct|
Thu: Feb 28(10pm-2am),19hz,Thu: Feb 28(10pm-2am),Smoked Out Soul Featuring Low Lite & Special Guests @ Monarch (San Francisco),Smoked Out Soul Featuring Low Lite & Special Guests @ Monarch (San Francisco),electronic funk,$5 | 21+|Smoked Out Soul|
Thu: Feb 28(10pm-4am),19hz,Thu: Feb 28(10pm-4am),Substance w/ Terry Francis @ The Endup (San Francisco),Substance w/ Terry Francis @ The Endup (San Francisco),tech house,Free w/RSVP b4 11pm/$5-10 | 21+||Facebook Page
Fri: Mar 1(6pm-10pm),19hz,Fri: Mar 1(6pm-10pm),"Silkxee, Dreams & Deity, Juan G, & Starterkit @ Bandcamp (Oakland)","Silkxee, Dreams & Deity, Juan G, & Starterkit @ Bandcamp (Oakland)","house, hip-hop, leftfield",|Bandcamp|
Fri: Mar 1(7pm),19hz,Fri: Mar 1(7pm),"Tourist, Qrion, Gilligan Moss @ Gray Area (San Francisco)","Tourist, Qrion, Gilligan Moss @ Gray Area (San Francisco)","synthpop, leftfield, future beats, deep house, techno","$18-22 | 21+|Noise Pop, DJ Dials|Facebook Page"
Fri: Mar 1(7pm-3am),19hz,Fri: Mar 1(7pm-3am),"Off The Record: Xhale Ghost b2b Lucid Absynth, Anthony Sceam, Wy-Fy, Ghost Host b2b BDKDZ , MAGZ, K2, Dr. Pockets, Esoteric Informer @ TBA (Sacramento)","Off The Record: Xhale Ghost b2b Lucid Absynth, Anthony Sceam, Wy-Fy, Ghost Host b2b BDKDZ , MAGZ, K2, Dr. Pockets, Esoteric Informer @ TBA (Sacramento)","trap, dubstep",$10-30 | 18+|Darkstvr Productions|Facebook Page
Fri: Mar 1(7:30pm-10:30pm),19hz,Fri: Mar 1(7:30pm-10:30pm),"Kamaal Williams, Jitwam @ Starline Social Club (Oakland)","Kamaal Williams, Jitwam @ Starline Social Club (Oakland)","downtempo, leftfield, house",$20-25 | All ages|Noise Pop|Facebook Page
Fri: Mar 1(8pm),19hz,Fri: Mar 1(8pm),Haywyre / Stayloose / Balkan Bump @ Slim's (San Francisco),Haywyre / Stayloose / Balkan Bump @ Slim's (San Francisco),"dubstep, future bass",$22.6||Facebook Page
Fri: Mar 1(8pm-12:30am),19hz,Fri: Mar 1(8pm-12:30am),Getter Presents: Visceral Live @ El Rey Theater (Chico),Getter Presents: Visceral Live @ El Rey Theater (Chico),"dubstep, trap, breakbeats","$20-25 | 18+|El Rey Theater, Getter|Facebook Page"
Fri: Mar 1(8pm-2am),19hz,Fri: Mar 1(8pm-2am),"Maher Daniel, Chvck, and Monoclick @ Phonobar (San Francisco)","Maher Daniel, Chvck, and Monoclick @ Phonobar (San Francisco)","progressive house, tech house",21+|Phonobar|
Fri: Mar 1(9pm),19hz,Fri: Mar 1(9pm),DJ Questlove @ Jam Cellars Ballroom At Margrit Mondavi Theatre (Napa),DJ Questlove @ Jam Cellars Ballroom At Margrit Mondavi Theatre (Napa),hip-hop,$35 | 10+|Blue Note Napa & Jam Cellars Ballroom|
Fri: Mar 1(9pm),19hz,Fri: Mar 1(9pm),LNY TNZ & NTXC @ DNA Lounge (San Francisco),LNY TNZ & NTXC @ DNA Lounge (San Francisco),"dubstep, hardstyle",$10-20 | 18+|Wasted|
Fri: Mar 1(9pm),19hz,Fri: Mar 1(9pm),"Satori Annual Cure Spotlight w/DJ Bit, DJ Davey Bones @ The Ritz (San Jose)","Satori Annual Cure Spotlight w/DJ Bit, DJ Davey Bones @ The Ritz (San Jose)","post-punk, new wave, darkwave, goth",$ree-5 | 21+|Club Satori:|Facebook Page
Fri: Mar 1(9pm-12am),19hz,Fri: Mar 1(9pm-12am),Highs & Lows: Benefit For Visibilit @ Elbo Room Jack London (Oakland),Highs & Lows: Benefit For Visibilit @ Elbo Room Jack London (Oakland),"latin dance, club music",donation | 21+|Visibilit|
Fri: Mar 1(9pm-2am),19hz,Fri: Mar 1(9pm-2am),ATB @ Mezzanine (San Francisco),ATB @ Mezzanine (San Francisco),"progressive house, trance",$30-40 | 21+|Dreamstate|Facebook Page
Fri: Mar 1(9pm-2am),19hz,Fri: Mar 1(9pm-2am),Vague Terrain w/ Seer (Live) and Amourette @ Underground (San Francisco),Vague Terrain w/ Seer (Live) and Amourette @ Underground (San Francisco),"live electronic, experimental, electro, techno",$10 | 21+|Vague Terrain|
Fri: Mar 1(9pm-3am),19hz,Fri: Mar 1(9pm-3am),"Club Chai: w/Venus X, Shyboi, Quest?onmarc, Thoom, 8ULENTINA, FOOZOOL, Qing Qi, B-SIDE BRUJAS, FELA KUTCHII, Tr4vi3za @ The Public Works (San Francisco)","Club Chai: w/Venus X, Shyboi, Quest?onmarc, Thoom, 8ULENTINA, FOOZOOL, Qing Qi, B-SIDE BRUJAS, FELA KUTCHII, Tr4vi3za @ The Public Works (San Francisco)","club music, juke, footwork, hip-hop, trap",$10-15 | 21+|Red Bull Music Events|Facebook Page
Fri: Mar 1(9pm-6am),19hz,Fri: Mar 1(9pm-6am),"Unity w/ Evil Eddie Richards, Galen, Tony, Taj, Rick V, Danny Woods @ TBA (Sacramento)","Unity w/ Evil Eddie Richards, Galen, Tony, Taj, Rick V, Danny Woods @ TBA (Sacramento)","deep house, tech house",$5-40 | 21+|Deep Viben Productions|Facebook Page
Fri: Mar 1(9:30pm-2am),19hz,Fri: Mar 1(9:30pm-2am),Sofi Tukker X Animal Talk Showcase @ Audio (San Francisco),Sofi Tukker X Animal Talk Showcase @ Audio (San Francisco),"synthpop, pop EDM",$20-45 | 21+|Audio San Francisco|
Fri: Mar 1(9:30pm-3:30am),19hz,Fri: Mar 1(9:30pm-3:30am),"Omar S, DJ Nobu, Mike Gushansky, Lindsey Herbert, Nonsuit @ The Great Northern (San Francisco)","Omar S, DJ Nobu, Mike Gushansky, Lindsey Herbert, Nonsuit @ The Great Northern (San Francisco)","techno, deep house, tech house",$15-20 | 21+|As You Like It|Facebook Page
Fri: Mar 1(9:30pm-3am),19hz,Fri: Mar 1(9:30pm-3am),"Believe In F8 w/Halo Varga, Tone Rangole, DJ Seven, Vedda, & Ft @ F8 1192 Folsom (San Francisco)","Believe In F8 w/Halo Varga, Tone Rangole, DJ Seven, Vedda, & Ft @ F8 1192 Folsom (San Francisco)",deep house,$5 pre | 21+|Funky Teknomics|Facebook Page
Fri: Mar 1(9:30pm-3am),19hz,Fri: Mar 1(9:30pm-3am),Set w/ Coyu (Suara) @ Monarch (San Francisco),Set w/ Coyu (Suara) @ Monarch (San Francisco),tech house,Free w/RSVP b4 11pm/$20 | 21+||Facebook Page
Fri: Mar 1(9:30pm-3am),19hz,Fri: Mar 1(9:30pm-3am),Strangelove: Tribute To The Sisters Of Mercy @ Cat Club (San Francisco),Strangelove: Tribute To The Sisters Of Mercy @ Cat Club (San Francisco),"dark electro, industrial, goth",$5 b4 10/$8 | 21+|Strangelove|
Fri: Mar 1(10pm),19hz,Fri: Mar 1(10pm),Ren The Vinyl Archaeologist @ The Layover (Oakland),Ren The Vinyl Archaeologist @ The Layover (Oakland),hip-hop,Free b4 9pm/$5 | 21+|True Skool|
Fri: Mar 1(10pm-1:30am),19hz,Fri: Mar 1(10pm-1:30am),Indie Fyre (An Indie Pop Rock Dance Party) @ Milk Bar (San Francisco),Indie Fyre (An Indie Pop Rock Dance Party) @ Milk Bar (San Francisco),"indie dance, electro house, synthpop",Free w/RSVP/$5 | 21+|Milk Bar|Facebook Page
Fri: Mar 1(10pm-1am),19hz,Fri: Mar 1(10pm-1am),"Openwide - Leap_Year, Amicus @ The Golden Bear (Sacramento)","Openwide - Leap_Year, Amicus @ The Golden Bear (Sacramento)","tech house, house, hip-hop",21+||
Fri: Mar 1(10pm-2am),19hz,Fri: Mar 1(10pm-2am),Green Velvet @ Temple Nightclub (San Francisco),Green Velvet @ Temple Nightclub (San Francisco),"tech house, techno",$20-30 | 21+||Facebook Page
Fri: Mar 1(10pm-2am),19hz,Fri: Mar 1(10pm-2am),Mardi Gras 2019 @ Club X (San Francisco),Mardi Gras 2019 @ Club X (San Francisco),"big room, top 40, dress code",$15 pre/$20 | 18+|Club X|
Fri: Mar 1(10pm-2am),19hz,Fri: Mar 1(10pm-2am),Troosoul - First Friday's DTSJ @ The Blue Chip Sports Lounge & Restaurant (San Jose),Troosoul - First Friday's DTSJ @ The Blue Chip Sports Lounge & Restaurant (San Jose),"soulful house, deep house, funky house",Free | 21+|Troosoul|
Fri: Mar 1(10pm-3am),19hz,Fri: Mar 1(10pm-3am),Monika Kruse and Mella Dee @ Halcyon (San Francisco),Monika Kruse and Mella Dee @ Halcyon (San Francisco),techno,$10-60 | 21+|Halcyon SF|Facebook Page
Fri: Mar 1(10pm-3am),19hz,Fri: Mar 1(10pm-3am),Petit Biscuit @ 1015 Folsom (San Francisco),Petit Biscuit @ 1015 Folsom (San Francisco),"pop EDM, synthpop",Free | 21+|1015 Folsom|
Fri: Mar 1(10pm-4am),19hz,Fri: Mar 1(10pm-4am),"Back 2 Bassic w/ Crystalize, Waaves, and More @ Danzhaus Dance Center (San Francisco)","Back 2 Bassic w/ Crystalize, Waaves, and More @ Danzhaus Dance Center (San Francisco)","dubstep, trap, future bass, bass house",$10 pre | 18+|Crystalize|
Sat: Mar 2(6am-12pm),19hz,Sat: Mar 2(6am-12pm),"Inside Out: Backroom Winter Sessions Season Closer w/Frankie Jr., Scottie Richard, Mixon Elliott, Joe Lanzon, Vedda @ The Endup (San Francisco)","Inside Out: Backroom Winter Sessions Season Closer w/Frankie Jr., Scottie Richard, Mixon Elliott, Joe Lanzon, Vedda @ The Endup (San Francisco)","tech house, deep house",$20 | 21+|Inside Out Mornings|
Sat: Mar 2(2pm-8pm),19hz,Sat: Mar 2(2pm-8pm),Good4u Almost-Spring Reunion! @ Vinyl Dreams (San Francisco),Good4u Almost-Spring Reunion! @ Vinyl Dreams (San Francisco),"house, techno, disco",Free | All ages|Vinyl Dreams|
Sat: Mar 2(6pm-3am),19hz,Sat: Mar 2(6pm-3am),SF Burnal Equinox 2019: Transmorphizone @ The Public Works (San Francisco),SF Burnal Equinox 2019: Transmorphizone @ The Public Works (San Francisco),"tech house, funky house, electro house, breaks",$15-30 | 21+|Burning Man San Francisco|Facebook Page
Sat: Mar 2(6:30pm),19hz,Sat: Mar 2(6:30pm),Mndsgn w/ Ahwlee & Latour @ Harlow's Restaurant And Nightclub (Sacramento),Mndsgn w/ Ahwlee & Latour @ Harlow's Restaurant And Nightclub (Sacramento),hip-hop,$15 pre/$18 | All ages|Harlow's|
Sat: Mar 2(7pm),19hz,Sat: Mar 2(7pm),Noise Pop Festival: Yves Tumor @ The Chapel (San Francisco),Noise Pop Festival: Yves Tumor @ The Chapel (San Francisco),"goth, experimental, deep house",$20 pre | All ages|The Chapel|Facebook Page
Sat: Mar 2(8pm-2am),19hz,Sat: Mar 2(8pm-2am),Fort Romeau w/ Jimmy B @ Phonobar (San Francisco),Fort Romeau w/ Jimmy B @ Phonobar (San Francisco),"deep house, funky house, tech house",21+|Phonobar|
Sat: Mar 2(9pm),19hz,Sat: Mar 2(9pm),Space Cowboys Presents Shred The Decks @ American Legion Post 795 (South Lake Tahoe),Space Cowboys Presents Shred The Decks @ American Legion Post 795 (South Lake Tahoe),"breaks, electro house, funky house",$15-20 | 21+|Space Cowboys Shred The Decks In South Lake Tahoe|Facebook Page
Sat: Mar 2(9pm),19hz,Sat: Mar 2(9pm),Tenova (Toolroom) @ Fulton 55 (Fresno),Tenova (Toolroom) @ Fulton 55 (Fresno),tech house,$10 | 21+|LMC|Facebook Page
Sat: Mar 2(9pm-1:30am),19hz,Sat: Mar 2(9pm-1:30am),"Baystation: Luny (Wile Out), Jackfruit, Rayreck, Jbuk, Grlgod @ 7th West (Oakland)","Baystation: Luny (Wile Out), Jackfruit, Rayreck, Jbuk, Grlgod @ 7th West (Oakland)","global bass, club music, jersey club, trap, juke, reggaeton, house, baile funk",$10 donation | 21+|Vivrant Thang|Facebook Page
Sat: Mar 2(9pm-1:45am),19hz,Sat: Mar 2(9pm-1:45am),So It Goes at The Hatch @ The Hatch (Oakland),So It Goes at The Hatch @ The Hatch (Oakland),"tech house, deep house, progressive house",Free | 21+|So It Goes Radio|
Sat: Mar 2(9pm-2am),19hz,Sat: Mar 2(9pm-2am),"Dark Dirty Disco: Anomalous, Sweet Tooth, Fredness & DJ Chulada @ Driftwood (San Francisco)","Dark Dirty Disco: Anomalous, Sweet Tooth, Fredness & DJ Chulada @ Driftwood (San Francisco)","house, disco",21+|Dark Dirty Disco|
Sat: Mar 2(9pm-2am),19hz,Sat: Mar 2(9pm-2am),"Forest Green's Birthday Party & Cute Fang Party Time w/Mochipet, DJ Denise, Forest Green, Amber Leigh, Random & DJ Clairity, Max Kim The Odd Guy @ Lounge 3411 (Oakland)","Forest Green's Birthday Party & Cute Fang Party Time w/Mochipet, DJ Denise, Forest Green, Amber Leigh, Random & DJ Clairity, Max Kim The Odd Guy @ Lounge 3411 (Oakland)","bass house, electro house, breaks, drum and bass, tech house",$5 | 21+|Cute Fang Recordings|
Sat: Mar 2(9pm-2am),19hz,Sat: Mar 2(9pm-2am),Northbass: Barisone // Yungg Trip // Guidance // 3sum @ 3 Disciples Brewing (Santa Rosa),Northbass: Barisone // Yungg Trip // Guidance // 3sum @ 3 Disciples Brewing (Santa Rosa),"dubstep, tropical bass, drum and bass, bass music","$10 | 21+|Northbass, HiGrade Ent.|Facebook Page"
Sat: Mar 2(9pm-2am),19hz,Sat: Mar 2(9pm-2am),"Palace 24 - Three Year Anniversary Party! Space Ghost, Chungtech, EBRC @ Starline Social Club (Oakland)","Palace 24 - Three Year Anniversary Party! Space Ghost, Chungtech, EBRC @ Starline Social Club (Oakland)","funk, disco, house",Free | 21+|Palace|
Sat: Mar 2(9pm-3:30am),19hz,Sat: Mar 2(9pm-3:30am),Bootie SF: Cirque Du Poleil @ DNA Lounge (San Francisco),Bootie SF: Cirque Du Poleil @ DNA Lounge (San Francisco),mashups,$10 b4 10pm/$15 pre/$20 | 21+|Bootie SF|Facebook Page
Sat: Mar 2(9pm-3am),19hz,Sat: Mar 2(9pm-3am),Go Bang! Disco Action w/ David Harness + Go Bang! Residents @ The Stud (San Francisco),Go Bang! Disco Action w/ David Harness + Go Bang! Residents @ The Stud (San Francisco),deep house,$10 | 21+||Facebook Page
Sat: Mar 2(9pm-3am),19hz,Sat: Mar 2(9pm-3am),"Jungle Juice 3: Xhale Ghost, Elevener, Sqorch, Wolvero, SA, Puppet, Jester, A.N.T., Sisto, DJ Smokie, Splendid, FrankieM @ DNA Lounge Upstairs (San Francisco)","Jungle Juice 3: Xhale Ghost, Elevener, Sqorch, Wolvero, SA, Puppet, Jester, A.N.T., Sisto, DJ Smokie, Splendid, FrankieM @ DNA Lounge Upstairs (San Francisco)","jungle terror, dubstep, trap, drum and bass",$10-15 pre/$20 | 18+|Sqorch|Facebook Page
Sat: Mar 2(9:30pm-2am),19hz,Sat: Mar 2(9:30pm-2am),"Harder, Better, Faster, Stronger: Blacklight Blackout @ Slate Bar (San Francisco)","Harder, Better, Faster, Stronger: Blacklight Blackout @ Slate Bar (San Francisco)",mashup,"$6 pre/$10 | 21+|Harder, Better, Faster, Stronger|Facebook Page"
Sat: Mar 2(9:30pm-2am),19hz,Sat: Mar 2(9:30pm-2am),Sofi Tukker X Animal Talk Showcase @ Audio (San Francisco),Sofi Tukker X Animal Talk Showcase @ Audio (San Francisco),pop EDM,$20-45 | 21+|Audio San Francisco|Facebook Page
Sat: Mar 2(9:30pm-3am),19hz,Sat: Mar 2(9:30pm-3am),Kollektiv Turmstrasse @ Monarch (San Francisco),Kollektiv Turmstrasse @ Monarch (San Francisco),tech house,$10-20 | 21+|Monarch SF|
Sat: Mar 2(9:30pm-3am),19hz,Sat: Mar 2(9:30pm-3am),SET w/ Anna @ The Great Northern (San Francisco),SET w/ Anna @ The Great Northern (San Francisco),"techno, tech house",$10-25 | 21+|SET|Facebook Page
Sat: Mar 2(10pm-2am),19hz,Sat: Mar 2(10pm-2am),Article C / Zanna Nera / Jon Carr @ BRIX 581 (Oakland),Article C / Zanna Nera / Jon Carr @ BRIX 581 (Oakland),techno,$5-10 | 21+|Katabatik|
Sat: Mar 2(10pm-2am),19hz,Sat: Mar 2(10pm-2am),Jackal & Beauz @ Origin (San Francisco),Jackal & Beauz @ Origin (San Francisco),"trap, dubstep",$15-20 | 18+|Mixpression Music|Facebook Page
Sat: Mar 2(10pm-2am),19hz,Sat: Mar 2(10pm-2am),Lift @ Underground (San Francisco),Lift @ Underground (San Francisco),"techno, house",21+||
Sat: Mar 2(10pm-4am),19hz,Sat: Mar 2(10pm-4am),Enrico Sangiuliano @ Halcyon (San Francisco),Enrico Sangiuliano @ Halcyon (San Francisco),techno,$10-25 | 21+|Halcyon SF|Facebook Page
Sat: Mar 2(10pm-4am),19hz,Sat: Mar 2(10pm-4am),"Fog City Pack Presents: Alpha: Jackie House, Fawks, Astro @ Club Six (San Francisco)","Fog City Pack Presents: Alpha: Jackie House, Fawks, Astro @ Club Six (San Francisco)",house,$15-25 | 21+|Fog City Pack|
Sat: Mar 2(10pm-6am),19hz,Sat: Mar 2(10pm-6am),"Derrick May, Jeno Void, Borzu [Bo], Rooz , Max Gardner @ TBA (San Francisco)","Derrick May, Jeno Void, Borzu [Bo], Rooz , Max Gardner @ TBA (San Francisco)","techno, house",$17-25 | 21+|Deepblue|Facebook Page
Sat: Mar 2(10pm-8am),19hz,Sat: Mar 2(10pm-8am),"Ex@Ltation: Kabayun, Sunchild, Audiodidakt, Symbiot, Xipil, Michael Liu, Cosmic Lotus @ TBA (Bay Area)","Ex@Ltation: Kabayun, Sunchild, Audiodidakt, Symbiot, Xipil, Michael Liu, Cosmic Lotus @ TBA (Bay Area)",psytrance,|Nicolo Pastor|
Sun: Mar 3(2am-6am),19hz,Sun: Mar 3(2am-6am),Elements Of House Saturday Night Afterhours Feat. Ray Vazquez @ The Endup (San Francisco),Elements Of House Saturday Night Afterhours Feat. Ray Vazquez @ The Endup (San Francisco),deep house,$20 | 21+||Facebook Page
Sun: Mar 3(1pm-6pm),19hz,Sun: Mar 3(1pm-6pm),Best Day Ever w/ Oliver Heldens @ Audio (San Francisco),Best Day Ever w/ Oliver Heldens @ Audio (San Francisco),"funky house, future house",$30-45 | 21+|Audio San Francisco|
Sun: Mar 3(1pm-7am),19hz,Sun: Mar 3(1pm-7am),Catz N Dogz - Day Party Patio @ The Midway (San Francisco),Catz N Dogz - Day Party Patio @ The Midway (San Francisco),"deep house, tech house",$10-20 | 21+|Set-SF|
Sun: Mar 3(2pm-8pm),19hz,Sun: Mar 3(2pm-8pm),Swagger Like Us Presents Dai Burger @ El Rio (San Francisco),Swagger Like Us Presents Dai Burger @ El Rio (San Francisco),hip-hop,$10 | 21+|Swagger Like Us|
